,projid
0,00582981
1,00807897
2,01172523
3,01841461
4,01878130
5,02158395
6,02371278
7,02695917
8,02732911
9,02950975
10,03052480
11,03060782
12,03070130
13,03227207
14,03340627
15,03902977
16,03918123
17,04319814
18,04981936
19,04984547
20,05001777
21,05225665
22,05389430
23,05427601
24,05859529
25,06042154
26,06131380
27,06152191
28,06630618
29,06673533
30,06702361
31,06764103
32,07053099
33,07117738
34,07195200
35,08072948
36,08098966
37,08245033
38,08464714
39,08481297
40,08558869
41,08587260
42,08899955
43,09108223
44,09508427
45,09790439
46,09892462
47,10042633
48,10262879
49,10371937
50,10516212
51,10665684
52,10989297
53,11486113
54,11626867
55,12317427
56,12357443
57,12766954
58,13026999
59,13103757
60,13269830
61,13282409
62,13346850
63,13360984
64,13380780
65,13432899
66,13633244
67,13747771
68,13885104
69,13942030
70,14050539
71,14458137
72,14536586
73,14782198
74,15003546
75,15302308
76,15304328
77,15523135
78,15548986
79,15656453
80,15938020
81,15976864
82,16064431
83,16212351
84,16235506
85,16265624
86,16268497
87,16288167
88,16403934
89,16597115
90,16854481
91,16879494
92,17041894
93,17151093
94,17259824
95,17497710
96,17863982
97,17974060
98,17974222
99,18014283
100,18024055
101,18126826
102,18219966
103,18455382
104,18500390
105,18882093
106,18910654
107,19791031
108,19924524
109,20842880
110,20853379
111,20857733
112,20860828
113,21539112
114,21608092
115,21986205
116,22016368
117,22408684
118,22683723
119,22832810
120,22880976
121,22887653
122,23335372
123,23354613
124,23628564
125,23825005
126,23896280
127,24051131
128,24097955
129,24328729
130,24523376
131,24597324
132,24644776
133,24644938
134,24969970
135,25248418
136,25464740
137,25475527
138,25681825
139,26000004
140,26084536
141,26277139
142,26330313
143,26334777
144,26334803
145,26342529
146,26436836
147,26468686
148,26516467
149,26581268
150,27083391
151,27419385
152,27586957
153,27745104
154,27865599
155,28120589
156,28314511
157,28517012
158,28628802
159,28663873
160,28680644
161,29026694
162,29197882
163,29278716
164,29323436
165,29399378
166,29843151
167,30028369
168,30132184
169,30311425
170,30473144
171,31143443
172,31183595
173,31533749
174,32016379
175,33084399
176,33154734
177,33360294
178,33400773
179,33571097
180,33635574
181,33659310
182,34018777
183,34070357
184,34185763
185,34453492
186,34542628
187,34777681
188,35259170
189,35850143
190,35908898
191,35967579
192,36087310
193,36220549
194,36379885
195,36646347
196,36689398
197,36791229
198,36953249
199,37070929
200,37230055
201,37280555
202,37326968
203,37700720
204,37914710
205,37946272
206,37997363
207,38199917
208,38292829
209,38496173
210,38512492
211,38599661
212,38831212
213,39339855
214,39407432
215,39721045
216,39898329
217,40385646
218,40401703
219,40622530
220,40714791
221,40745950
222,40880222
223,40915696
224,41417981
225,41587876
226,41871523
227,41915754
228,42180189
229,42186851
230,42215265
231,42450388
232,42721592
233,42744873
234,42826974
235,42950045
236,43116037
237,43211671
238,43222034
239,43536587
240,43636464
241,44455423
242,44655449
243,44751386
244,44797362
245,44842532
246,44982723
247,45118147
248,45212640
249,46110487
250,46178577
251,46226934
252,46317892
253,46341086
254,46433373
255,46516939
256,46808242
257,46957588
258,47619873
259,47717866
260,48104907
261,48331728
262,48451825
263,48480640
264,49007537
265,49094578
266,49297367
267,49352697
268,49428128
269,49772985
270,49845805
271,50103417
272,50112436
273,50226251
274,50300372
275,50300534
276,50301701
277,50402279
278,50408103
279,50410445
280,50551515
281,50957643
282,51129205
283,51225692
284,51515723
285,51730202
286,51938758
287,52052115
288,52111511
289,52781299
290,52790894
291,52939119
292,53180384
293,53192752
294,53533437
295,54063118
296,54497344
297,54539393
298,54743671
299,55069786
300,55338718
301,55598394
302,55603674
303,55861780
304,55994710
305,56025914
306,56029116
307,56961563
308,56979865
309,57002539
310,57251590
311,57311163
312,57597479
313,57600441
314,57704818
315,57833358
316,58051920
317,58531593
318,58670229
319,58677906
320,59166782
321,59449940
322,59500816
323,59826313
324,59865900
325,60043729
326,60346107
327,60370977
328,60512515
329,60593724
330,60833355
331,60909048
332,61055543
333,61074758
334,61542827
335,61595488
336,61640072
337,62301938
338,62398393
339,62693953
340,62720059
341,62744471
342,63380023
343,63514945
344,63698192
345,64386439
346,64505110
347,64871117
348,64925372
349,65499271
350,65580391
351,65608216
352,65670406
353,65692934
354,65778949
355,65925304
356,65952361
357,65990079
358,66065365
359,66176579
360,66219083
361,66447233
362,66523086
363,66905828
364,67227993
365,67364573
366,67510897
367,67546425
368,67583092
369,67632202
370,67946467
371,68030544
372,68371216
373,68481703
374,68773728
375,68813045
376,69028496
377,69087591
378,69398721
379,69528865
380,69540555
381,69545186
382,69660076
383,69920089
384,69982407
385,70212461
386,70329923
387,70555991
388,70913861
389,71063018
390,71070017
391,71598000
392,71806467
393,71932972
394,71952642
395,72128082
396,72152564
397,72276737
398,72277580
399,72343697
400,72347501
401,72448817
402,72498029
403,72571009
404,72841884
405,72931025
406,73111141
407,73177635
408,73369061
409,73957787
410,74343949
411,74536966
412,74708460
413,75001294
414,75124326
415,75149339
416,75161029
417,75262623
418,75359253
419,75458387
420,75510556
421,75833578
422,75951655
423,76137867
424,76152744
425,76368754
426,76542752
427,76621666
428,76650481
429,76731441
430,77273914
431,77333587
432,77366180
433,77547027
434,77678875
435,77689940
436,77716758
437,77790442
438,77999453
439,78010047
440,78267114
441,78300592
442,78410089
443,78657384
444,78707509
445,78916544
446,79521487
447,79576932
448,79692387
449,79742340
450,79953855
451,79978444
452,80170847
453,80352799
454,80358209
455,80450368
456,80487613
457,80573076
458,80686912
459,80930779
460,81185560
461,81404254
462,81622344
463,81639479
464,81810992
465,82003527
466,82273425
467,82320165
468,82325110
469,82335720
470,82366015
471,82520217
472,82728899
473,82736939
474,82780217
475,82890542
476,83092060
477,83112293
478,83216408
479,83887227
480,83944153
481,84248280
482,84537270
483,84896566
484,84916951
485,85065931
486,85508351
487,85520889
488,85527016
489,85539934
490,86880662
491,86901774
492,86910081
493,86934089
494,87386573
495,87585034
496,87713446
497,87821751
498,87942151
499,88029789
500,88049747
501,88153300
502,88182963
503,88488240
504,88799920
505,88910757
506,88961000
507,89292806
508,89515666
509,89835239
510,89862872
511,89912411
512,90076229
513,90172292
514,90173045
515,90224563
516,90254005
517,90439144
518,90544000
519,90805280
520,90821208
521,90977195
522,91231332
523,91349809
524,91949579
525,92276597
526,93041854
527,93138484
528,93417026
529,93435488
530,93493992
531,93667416
532,93920166
533,93966278
534,94225596
535,94549523
536,94630355
537,94803738
538,94937061
539,95065654
540,95252909
541,95281012
542,95373147
543,95439194
544,95620227
545,95638231
546,95902182
547,96177193
548,96314498
549,96351191
550,96370720
551,96915597
552,97478169
553,97498839
554,97775875
555,97778512
556,97989289
557,98273670
558,98844813
559,98919041
560,99147061
561,99151323
562,99516006
563,99693576
564,99893592
565,99911705
