"BrainRegion","RValue","RSquared","PValue","AdjustedRSquared","DeltaAdjRSquared"
"bold_AAL_Frontal_Sup_L_alff",0.000319363297859436,0.141009981392829,0.414629262165819,0.132244777121328,0.0831761309709541
"bold_AAL_Frontal_Sup_R_alff",0.00024580826439162,0.119745075935112,0.555221750493493,0.11076288283241,0.061694236682036
"bold_AAL_Frontal_Sup_Orb_L_alff",0.000375524996829203,0.287002209505988,0.0983223095924403,0.279726721847886,0.230658075697512
"bold_AAL_Frontal_Sup_Orb_R_alff",0.00035534956344359,0.252345242328025,0.144208422508181,0.244716112147699,0.195647465997325
"bold_AAL_Frontal_Mid_L_alff",0.000121680707040785,0.182760155393158,0.655622794116641,0.174420973305334,0.12535232715496
"bold_AAL_Frontal_Mid_R_alff",0.000188275444480594,0.166058309865785,0.481916092509154,0.157548700782783,0.10848005463241
"bold_AAL_Frontal_Mid_Orb_L_alff",0.00032731254868596,0.240219956980711,0.177523862105606,0.232467099398881,0.183398453248508
"bold_AAL_Frontal_Mid_Orb_R_alff",0.000306209399889499,0.187064665629031,0.250875144174043,0.178769407115042,0.129700760964669
"bold_AAL_Frontal_Inf_Oper_L_alff",0.000188342190202824,0.325129985690279,0.42213222944172,0.318243556972833,0.269174910822459
"bold_AAL_Frontal_Inf_Oper_R_alff",0.000324307857272622,0.333986837053196,0.154869354563862,0.327190784370066,0.278122138219692
"bold_AAL_Frontal_Inf_Tri_L_alff",0.000217541776472258,0.293138627779549,0.333731201768622,0.285925756634442,0.236857110484069
"bold_AAL_Frontal_Inf_Tri_R_alff",0.000398363252930196,0.277172535942609,0.0871746879960984,0.269796745493043,0.22072809934267
"bold_AAL_Frontal_Inf_Orb_L_alff",0.000126037988539708,0.288193865462144,0.598000967712639,0.280930537558697,0.231861891408323
"bold_AAL_Frontal_Inf_Orb_R_alff",0.000372312521186915,0.249083010396002,0.126344743981475,0.241420592134737,0.192351945984363
"bold_AAL_Frontal_Sup_Medial_L_alff",0.00021118264163024,0.185621472689541,0.429916434252588,0.177311487716985,0.128242841566612
"bold_AAL_Frontal_Sup_Medial_R_alff",0.000154641140098862,0.154968044620399,0.590212009594811,0.146345269565505,0.0972766234151319
"bold_AAL_Frontal_Med_Orb_L_alff",0.000170621908548551,0.229309081925796,0.525593288238456,0.221444888884223,0.172376242733849
"bold_AAL_Frontal_Med_Orb_R_alff",0.000307916480236307,0.299687676949171,0.192424381810066,0.292541632836407,0.243472986686034
