"BrainRegion","RValue","RSquared","PValue","AdjustedRSquared","DeltaAdjRSquared"
"dwi_AAL_Frontal_Sup_L_dti_fa",-0.00119325506714665,0.170490559655715,0.255480191974327,0.164490491371127,0.13512328982132
"dwi_AAL_Frontal_Sup_R_dti_fa",-0.00206996916493212,0.188595026819319,0.0457346728129654,0.182725913089259,0.153358711539452
"dwi_AAL_Frontal_Sup_Orb_L_dti_fa",-0.00369513688756082,0.111408683967879,0.0140892400481456,0.104981260343777,0.0756140587939692
"dwi_AAL_Frontal_Sup_Orb_R_dti_fa",-0.00317486799139022,0.133178617944833,0.0135433940107235,0.126908662197598,0.0975414606477909
"dwi_AAL_Frontal_Mid_L_dti_fa",-0.00223191566587429,0.231123380020597,0.0205009470176627,0.225561885481868,0.19619468393206
"dwi_AAL_Frontal_Mid_R_dti_fa",-0.00229966332114674,0.216102375012062,0.0290881309961873,0.210432229442529,0.181065027892721
"dwi_AAL_Frontal_Mid_Orb_L_dti_fa",-0.00337969403080456,0.162948440527758,0.00578630966834092,0.156893818036096,0.127526616486289
"dwi_AAL_Frontal_Mid_Orb_R_dti_fa",-0.00330281368430411,0.176955389857186,0.00571780263982409,0.171002083454707,0.141634881904899
"dwi_AAL_Frontal_Inf_Oper_L_dti_fa",-0.00155115999220803,0.252125152559825,0.228060554787021,0.246715569576533,0.217348368026726
"dwi_AAL_Frontal_Inf_Oper_R_dti_fa",-0.00276186667616361,0.191135187625633,0.0179988361855361,0.185284447572292,0.155917246022485
"dwi_AAL_Frontal_Inf_Tri_L_dti_fa",-0.00298028199021217,0.280811150448208,0.00780342241138191,0.275609061120528,0.246241859570721
"dwi_AAL_Frontal_Inf_Tri_R_dti_fa",-0.00309775029633559,0.207948494900797,0.0130570713094678,0.202219370089952,0.172852168540145
"dwi_AAL_Frontal_Inf_Orb_L_dti_fa",-0.00186294729551629,0.199186115375598,0.074577320862836,0.193393609881027,0.16402640833122
"dwi_AAL_Frontal_Inf_Orb_R_dti_fa",-0.00234253884013062,0.259129616341932,0.0298514077757164,0.253770698557787,0.224403497007979
"dwi_AAL_Frontal_Sup_Medial_L_dti_fa",-0.00200927197581026,0.195525108151783,0.0155585717643749,0.189706121592302,0.160338920042495
"dwi_AAL_Frontal_Sup_Medial_R_dti_fa",-0.00120141826189675,0.209365364206962,0.263103301715882,0.203646487998694,0.174279286448886
"dwi_AAL_Frontal_Med_Orb_L_dti_fa",-0.0017522157487253,0.0917073106031345,0.0442382876844817,0.0851373815659059,0.0557701800160986
"dwi_AAL_Frontal_Med_Orb_R_dti_fa",6.56085547058796e-05,0.105402876882297,0.955323937392349,0.098932011615623,0.0695648100658157
